=== Final GESTURE Training with Maximum Regularization ===
Job started: Wed Jul 16 11:23:16 PM EDT 2025
Node: qa-a10-034.crc.nd.edu
Job ID: 1898816
Loading python/3.12.11
  Loading requirement: tcl/8.6.12
=== Environment Check ===
PyTorch version: 2.5.1+cu121
CUDA available: True
GPU: NVIDIA A10
GPU memory: 23.7 GB
✅ Final training environment ready!
=== Starting Final Training ===
/users/akoongbo/miniconda3/envs/hiera-seizure/lib/python3.12/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
=== Final GESTURE Dataset Training with Maximum Regularization ===
Device: cuda
GPU: NVIDIA A10
GPU memory: 23.7 GB
Loaded 220 seizures
Train: 54 subjects, 184 seizures
Val: 14 subjects, 36 seizures
Dataset created: 68451 samples from 177 seizures
Class distribution: GTCS=36413, FOS=32038
Dataset created: 7862 samples from 35 seizures
Class distribution: GTCS=4065, FOS=3797
Class weights: tensor([1.0683, 0.9399], device='cuda:0')
Model parameters: 58,371
------------------------------------------------------------
  Batch 0/8556, Loss: 1.0523
  Batch 20/8556, Loss: 1.2815
  Batch 40/8556, Loss: 1.7254
  Batch 60/8556, Loss: 2.4283
  Batch 80/8556, Loss: 1.2475
  Batch 100/8556, Loss: 1.4727
  Batch 120/8556, Loss: 1.2083
  Batch 140/8556, Loss: 1.4181
  Batch 160/8556, Loss: 1.4704
  Batch 180/8556, Loss: 0.7260
  Batch 200/8556, Loss: 1.0945
  Batch 220/8556, Loss: 0.8525
  Batch 240/8556, Loss: 0.4122
  Batch 260/8556, Loss: 1.4431
  Batch 280/8556, Loss: 1.1602
  Batch 300/8556, Loss: 0.7760
  Batch 320/8556, Loss: 0.8656
  Batch 340/8556, Loss: 1.9253
  Batch 360/8556, Loss: 1.4223
  Batch 380/8556, Loss: 1.5249
  Batch 400/8556, Loss: 1.1049
  Batch 420/8556, Loss: 1.3920
  Batch 440/8556, Loss: 0.6742
  Batch 460/8556, Loss: 2.5422
  Batch 480/8556, Loss: 1.9369
  Batch 500/8556, Loss: 0.6760
  Batch 520/8556, Loss: 1.1943
  Batch 540/8556, Loss: 0.6625
  Batch 560/8556, Loss: 1.2420
  Batch 580/8556, Loss: 0.9772
  Batch 600/8556, Loss: 0.4016
  Batch 620/8556, Loss: 1.1156
  Batch 640/8556, Loss: 0.6563
  Batch 660/8556, Loss: 1.3936
  Batch 680/8556, Loss: 0.8590
  Batch 700/8556, Loss: 0.4633
  Batch 720/8556, Loss: 0.8252
  Batch 740/8556, Loss: 0.3826
  Batch 760/8556, Loss: 0.4786
  Batch 780/8556, Loss: 0.5354
  Batch 800/8556, Loss: 1.4926
  Batch 820/8556, Loss: 0.4950
  Batch 840/8556, Loss: 1.1067
  Batch 860/8556, Loss: 1.1619
