=== GESTURE Seizure Detection Training ===
Job started: Wed Jul 16 08:08:03 PM EDT 2025
Node: qa-a10-026.crc.nd.edu
=== Environment Check ===
PyTorch version: 2.5.1+cu121
CUDA available: True
GPU: NVIDIA A10
GPU memory: 23.7 GB
=== Starting Training ===
/users/akoongbo/miniconda3/envs/hiera-seizure/lib/python3.12/site-packages/torch/utils/data/dataloader.py:617: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
/users/akoongbo/miniconda3/envs/hiera-seizure/lib/python3.12/site-packages/torch/utils/data/dataloader.py:617: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
=== GESTURE Dataset Training with Hiera Architecture ===
Device: cuda
GPU: NVIDIA A10
GPU memory: 23.7 GB
Loaded 220 seizures
Train: 54 subjects, 184 seizures
Val: 14 subjects, 36 seizures
Dataset created: 12686 samples from 177 seizures
Dataset created: 2918 samples from 35 seizures
Model parameters: 2,542,466
------------------------------------------------------------
  Batch 0/397, Loss: 1.2289
  Batch 10/397, Loss: 0.7001
  Batch 20/397, Loss: 0.5218
  Batch 30/397, Loss: 0.5686
  Batch 40/397, Loss: 0.5119
  Batch 50/397, Loss: 0.5643
  Batch 60/397, Loss: 0.4816
  Batch 70/397, Loss: 0.5299
  Batch 80/397, Loss: 0.6006
  Batch 90/397, Loss: 0.3909
  Batch 100/397, Loss: 0.2991
  Batch 110/397, Loss: 0.3959
  Batch 120/397, Loss: 0.4154
  Batch 130/397, Loss: 0.3003
  Batch 140/397, Loss: 0.5571
  Batch 150/397, Loss: 0.3251
  Batch 160/397, Loss: 0.3343
  Batch 170/397, Loss: 0.2923
  Batch 180/397, Loss: 0.2640
  Batch 190/397, Loss: 0.3132
  Batch 200/397, Loss: 0.3709
  Batch 210/397, Loss: 0.5881
  Batch 220/397, Loss: 0.3411
  Batch 230/397, Loss: 0.3790
  Batch 240/397, Loss: 0.2959
  Batch 250/397, Loss: 0.3844
  Batch 260/397, Loss: 0.1966
  Batch 270/397, Loss: 0.2235
  Batch 280/397, Loss: 0.2015
  Batch 290/397, Loss: 0.2041
  Batch 300/397, Loss: 0.0883
  Batch 310/397, Loss: 0.1907
  Batch 320/397, Loss: 0.3954
  Batch 330/397, Loss: 0.3059
  Batch 340/397, Loss: 0.2922
  Batch 350/397, Loss: 0.1679
  Batch 360/397, Loss: 0.2040
  Batch 370/397, Loss: 0.5937
  Batch 380/397, Loss: 0.4126
  Batch 390/397, Loss: 0.3785
Epoch 1/30 (257.1s)
  Train Loss: 0.3715, Acc: 0.8293
  Val Loss: 0.7789, Acc: 0.6744
  Best Val Acc: 0.6744
  LR: 9.97e-05
------------------------------------------------------------
  Batch 0/397, Loss: 0.1876
  Batch 10/397, Loss: 0.1370
  Batch 20/397, Loss: 0.1220
  Batch 30/397, Loss: 0.1628
  Batch 40/397, Loss: 0.1347
  Batch 50/397, Loss: 0.2729
  Batch 60/397, Loss: 0.2453
  Batch 70/397, Loss: 0.2018
  Batch 80/397, Loss: 0.0803
  Batch 90/397, Loss: 0.1347
  Batch 100/397, Loss: 0.1813
  Batch 110/397, Loss: 0.2192
  Batch 120/397, Loss: 0.1557
  Batch 130/397, Loss: 0.1391
  Batch 140/397, Loss: 0.1693
  Batch 150/397, Loss: 0.3165
  Batch 160/397, Loss: 0.3814
  Batch 170/397, Loss: 0.0847
  Batch 180/397, Loss: 0.0823
  Batch 190/397, Loss: 0.0937
  Batch 200/397, Loss: 0.2375
  Batch 210/397, Loss: 0.1068
  Batch 220/397, Loss: 0.0448
  Batch 230/397, Loss: 0.1210
  Batch 240/397, Loss: 0.2262
  Batch 250/397, Loss: 0.0983
  Batch 260/397, Loss: 0.0824
  Batch 270/397, Loss: 0.2506
  Batch 280/397, Loss: 0.0690
  Batch 290/397, Loss: 0.0837
  Batch 300/397, Loss: 0.0901
  Batch 310/397, Loss: 0.0369
  Batch 320/397, Loss: 0.2555
  Batch 330/397, Loss: 0.0471
  Batch 340/397, Loss: 0.3358
  Batch 350/397, Loss: 0.0582
  Batch 360/397, Loss: 0.0831
  Batch 370/397, Loss: 0.1085
  Batch 380/397, Loss: 0.1646
  Batch 390/397, Loss: 0.2237
Epoch 2/30 (156.4s)
  Train Loss: 0.1731, Acc: 0.9317
  Val Loss: 1.5785, Acc: 0.5216
  Best Val Acc: 0.6744
  LR: 9.89e-05
------------------------------------------------------------
  Batch 0/397, Loss: 0.1487
  Batch 10/397, Loss: 0.0744
  Batch 20/397, Loss: 0.0309
  Batch 30/397, Loss: 0.3069
  Batch 40/397, Loss: 0.0306
  Batch 50/397, Loss: 0.1106
  Batch 60/397, Loss: 0.0137
  Batch 70/397, Loss: 0.1745
  Batch 80/397, Loss: 0.2751
  Batch 90/397, Loss: 0.0231
  Batch 100/397, Loss: 0.1235
  Batch 110/397, Loss: 0.0785
  Batch 120/397, Loss: 0.1435
  Batch 130/397, Loss: 0.0657
  Batch 140/397, Loss: 0.0211
  Batch 150/397, Loss: 0.0599
  Batch 160/397, Loss: 0.0473
  Batch 170/397, Loss: 0.2895
  Batch 180/397, Loss: 0.0212
  Batch 190/397, Loss: 0.0626
  Batch 200/397, Loss: 0.0277
  Batch 210/397, Loss: 0.0521
  Batch 220/397, Loss: 0.1133
  Batch 230/397, Loss: 0.1344
  Batch 240/397, Loss: 0.0691
  Batch 250/397, Loss: 0.0117
  Batch 260/397, Loss: 0.0088
  Batch 270/397, Loss: 0.0462
  Batch 280/397, Loss: 0.0978
  Batch 290/397, Loss: 0.0347
  Batch 300/397, Loss: 0.0400
  Batch 310/397, Loss: 0.0868
  Batch 320/397, Loss: 0.0132
  Batch 330/397, Loss: 0.1174
  Batch 340/397, Loss: 0.0919
  Batch 350/397, Loss: 0.0588
  Batch 360/397, Loss: 0.0218
  Batch 370/397, Loss: 0.2112
  Batch 380/397, Loss: 0.0075
  Batch 390/397, Loss: 0.0228
Epoch 3/30 (158.0s)
  Train Loss: 0.1034, Acc: 0.9607
  Val Loss: 1.7288, Acc: 0.6011
  Best Val Acc: 0.6744
  LR: 9.76e-05
------------------------------------------------------------
  Batch 0/397, Loss: 0.0239
  Batch 10/397, Loss: 0.0992
  Batch 20/397, Loss: 0.1546
  Batch 30/397, Loss: 0.0718
  Batch 40/397, Loss: 0.1391
  Batch 50/397, Loss: 0.0171
  Batch 60/397, Loss: 0.0194
  Batch 70/397, Loss: 0.1353
  Batch 80/397, Loss: 0.0600
  Batch 90/397, Loss: 0.0878
  Batch 100/397, Loss: 0.2245
  Batch 110/397, Loss: 0.0161
  Batch 120/397, Loss: 0.0094
  Batch 130/397, Loss: 0.0633
  Batch 140/397, Loss: 0.0226
  Batch 150/397, Loss: 0.1021
  Batch 160/397, Loss: 0.0387
  Batch 170/397, Loss: 0.0042
  Batch 180/397, Loss: 0.2633
  Batch 190/397, Loss: 0.0085
  Batch 200/397, Loss: 0.0312
  Batch 210/397, Loss: 0.0195
  Batch 220/397, Loss: 0.0592
  Batch 230/397, Loss: 0.0519
  Batch 240/397, Loss: 0.1086
  Batch 250/397, Loss: 0.0062
